match,result,result,oppononent,Rank,score,Add points,Prize money
珠海 2018.10.30,,,,,,360,"$275,000"
,R1,L,[1] Daria Kasatkina (RUS),10,6-1 2-6 7-5,,
,R1,W,[6] Madison Keys (USA),16,1-6 6-3 6-1,,
,SF,W,[7] Garbiñe Muguruza (ESP),17,6-2 6-0,,
,Final,L,[9] Ashleigh Barty (AUS),19,6-3 6-4,,
香港 2018.10.8,,,,,,180,"$81,251"
,Round 32,W,[W] Ling Zhang (HKG),407,6-0 6-2,,
,Round 16,W,Christina Mchale (USA),145,7-5 6-1,,
,Quarterfinals,W,[1] Elina Svitolina (UKR),5,6-2 6-4,,
,Semifinals,W,[4] Garbiñe Muguruza (ESP),13,6-7(5) 6-4 7-5,,
,Final,L,Dayana Yastremska (UKR),102,6-2 6-1,,
北京 2018.9.23,,,,,,390,"$372,400"
,Round 64,W,BYE,-,-,,
,Round 32,W,[12] Jelena Ostapenko (LAT),13,6-0 6-0,,
,Round 16,W,[7] Karolina Pliskova (CZE),7,6-4 6-4,,
,Quarterfinals,W,Aryna Sabalenka (BLR),16,7-5 7-5,,
,Semifinals,L,[2] Caroline Wozniacki (DEN),2,6-1 6-3,,
武汉 2018.9.23,,,,,,350,"$125,805"
,Round 64,W,Maria Sakkari (GRE),29,7-5 6-2,,
,Round 32,W,[8] Karolina Pliskova (CZE),7,6-1 3-6 6-3,,
,Round 16,W,Daria Gavrilova (AUS),33,7-5 6-2,,
,Quarterfinals,W,[Q] Monica Puig (PUR),51,6-3 6-1,,
,Semifinals,L,Anett Kontaveit (EST),27,6-2 2-1 RET,,
广州 2018.9.17,,,,,,280,"$43,000"
,Round 32,W,Nicole Gibbs (USA),129,6-1 6-2,,
,Round 16,W,[W] Svetlana Kuznetsova (RUS),110,6-2 6-2,,
,Quarterfinals,W,Fiona Ferro (FRA),124,6-4 6-0,,
,Semifinals,W,Andrea Petkovic (GER),85,6-2 6-2,,
,Final,W,[5] Yulia Putintseva (KAZ),61,6-1 6-2,,
日本广岛 2018.9.10,,,,,,110,"$11,300"
,Round 32,W,[Q] Priscilla Hon (AUS),176,3-6 6-1 6-3,,
,Round 16,W,Luksika Kumkhum (THA),93,7-5 6-3,,
,Quarterfinals,W,[8] Magda Linette (POL),68,6-2 6-2,,
,Semifinals,L,[2] Su-Wei Hsieh (TPE),40,6-4 6-4,,
美网 2018.8.27,,,,,,130," $156,000"
,Round 128,W,[31] Magdalena Rybarikova (SVK),29,6-2 6-2,,
,Round 64,W,Irina-Camelia Begu (ROU),59,6-3 6-1,,
,Round 32,L,[7] Elina Svitolina (UKR),7,6-4 6-4,,
蒙特利尔 2018.8.6,,,,,,30,"$8,015"
,Round 64 - Q,W,BYE,-,-,,
,Round 32 - Q,W,Rebecca Marino (CAN),307,7-5 6-4,,
,Round 64,L,Mihaela Buzarnescu (ROU),20,6-2 7-5,,
,San Jose 2018.7.30,,,,,,
,Round 32,L,[Q] Amanda Anisimova (USA),198,6-2 7-5,,
南昌 2018.7.23,,,,,,280,"$43,000"
,Round 32,W,Ankita Raina (IND),191,6-2 6-1,,
,Round 16,W,Sabina Sharipova (UZB),127,6-4 3-6 6-2,,
,Quarterfinals,W,Fangzhou Liu (CHN),139,6-3 6-0,,
,Semifinals,W,[3] Magda Linette (POL),80,7-5 6-2,,
,Final,W,[6] Saisai Zheng (CHN),112,7-5 4-0 RET,,
温网 2018.6.2,,,,,,10,"$53,716"
,Round 128,L,Saisai Zheng (CHN),126,6-3 4-6 6-1,,
法网 2018.5.27,,,,,,130,"$152,911"
,Round 128,W,[9] Venus Williams (USA),9,6-4 7-5,,
,Round 64,W,Petra Martic (CRO),35,6-1 6-1,,
,Round 32,L,Yulia Putintseva (KAZ),98,1-6 7-5 6-4,,
,Round 32,W,[Q] Camilla Rosatello (ITA),266,3-6 6-1 6-4,,
"Strasbourg, France 2018.5.20",,,,,,60,"$6,175"
,Round 16,W,[7] Danielle Collins (USA),44,4-6 7-5 6-2,,
,Quarterfinals,L,[1] Ashleigh Barty (AUS),17,7-5 6-4,,
罗马 2018.5.14,,,,,,20,"$5,264"
,Round 32 - Q,W,Lara Arruabarrena (ESP),94,7-6(4) 6-1,,
,Round 16 - Q,L,[3] Alison Van Uytvanck (BEL),49,3-6 6-3 6-1,,
马德里 2018.5.5,,,,,,10,"$20,395"
,Round 64,L,[14] Daria Kasatkina (RUS),15,7-5 7-6(6),,
布拉格 2018.4.30,,,,,,30,"$3,310"
,Round 32,W,Viktoria Kuzmova (SVK),108,7-6(4) 6-1,,
,Round 16,L,Kristyna Pliskova (CZE),74,6-2 7-6(3),,
伊斯坦布尔 2018.4.23,,,,,,1,"$2,100"
,Round 32,L,[2] Svetlana Kuznetsova (RUS),28,6-3 6-3,,
迈阿密 2018.3.20,,,,,,10,"$15,610"
,Round 128,L,[W] Amanda Anisimova (USA),130,6-3 1-6 6-2,,
Indian Wells 2018.3.7,,,,,,120,"$88,135"
,Round 128,W,Timea Bacsinszky (SUI),42,6-0 4-6 6-2,,
,Round 64,W,[22] Elise Mertens (BEL),22,4-6 6-3 6-3,,
,Round 32,W,[14] Kristina Mladenovic (FRA),15,6-1 6-2,,
,Round 16,L,[1] Simona Halep (ROU),1,7-5 6-1,,
迪拜 2018.2.19,,,,,,55,"$24,998"
,Round 32 - Q,W,Valentyna Ivakhnenko (RUS),192,6-1 6-0,,
,Round 16 - Q,W,Danka Kovinic (MNE),122,6-2 5-7 6-3,,
,Quarterfinals - Q,L,Sofya Zhuk (RUS),139,6-1 6-2,,
,Round 32,W,Kiki Bertens (NED),29,6-3 6-0,,
,Round 16,L,[1] Elina Svitolina (UKR),4,6-1 5-7 6-2,,
多哈 2018.2.12,,,,,,1,"$8,900"
,Round 64,L,[12] Madison Keys (USA),14,6-1 6-4,,
澳网 2018.1.15,,,,,,0,"$45,524"
,Round 128,L,[17] Madison Keys (USA),20,6-1 7-5,,
深圳 2017.12.31,,,,,,,
,Round 32,L,Alison Riske (USA),70,7-5 6-0,1,"$4,698"
