video_title,video_url,video_views,video_selection1,video_image
Wang Qiang vs. Garbiñe Muguruza | 2018 WTA Elite Trophy Semifinals | WTA Highlights,https://www.youtube.com/watch?v=YhT_UKoZJN4,60K views,3:27,https://i.ytimg.com/vi/YhT_UKoZJN4/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAllxFlwO0AyCJWXbxIFy51hlIMDQ
Wang Qiang vs. Ashleigh Barty | 2018 WTA Elite Trophy Final | WTA Highlights,https://www.youtube.com/watch?v=jAIB0YKmzWs,42K views,5:23,https://i.ytimg.com/vi/jAIB0YKmzWs/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLC5_K7riKHohG_Q2tMfgGZFYZAitA
Wang Qiang vs. Aryna Sabalenka | 2018 China Open Quarterfinals | WTA Highlights 中国网球公开赛,https://www.youtube.com/watch?v=8aKIwdip1rs,83K views,7:48,https://i.ytimg.com/vi/8aKIwdip1rs/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBCOsJx8u0RxhtsSvb8VNsc2W2QHw
Wang Qiang vs. Garbiñe Muguruza | 2018 Hong Kong Open Semifinals | WTA Highlights 香港網球公開賽,https://www.youtube.com/watch?v=yiORirIKtJ4,65K views,8:45,https://i.ytimg.com/vi/yiORirIKtJ4/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBRhJ7trw153G2iBQ9Hold8AaIwfQ
Madison Keys vs. Wang Qiang | 2018 WTA Elite Trophy Day 4 | WTA Highlights,https://www.youtube.com/watch?v=C1N_emxWMGM,22K views,3:12,https://i.ytimg.com/vi/C1N_emxWMGM/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBFF2bpB6RcJcNBAtYuwsmUx2MzNQ
Jelena Ostapenko vs. Wang Qiang | 2018 China Open Second Round | WTA Highlights,https://www.youtube.com/watch?v=zG-ASvp624k,78K views,5:20,https://i.ytimg.com/vi/zG-ASvp624k/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBDVimIv7FNNrceWqD99Rkx_us8Sg
Daria Kasatkina vs. Wang Qiang | 2018 WTA Elite Trophy Day 1 | WTA Highlights,https://www.youtube.com/watch?v=alEIPVd3pJs,41K views,7:26,https://i.ytimg.com/vi/alEIPVd3pJs/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDW5CJs6gvITBUua7sbszkL6h_cDQ
Wang Qiang vs. Caroline Wozniacki | 2018 China Open Semifinals | WTA Highlights,https://www.youtube.com/watch?v=h0XsZj9XagU,57K views,7:51,https://i.ytimg.com/vi/h0XsZj9XagU/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLALR48RLb4zjaLyaF1fQSEHhPCffw
Wang Qiang vs. Yulia Putintseva | 2018 Guangzhou Open Final | WTA Highlights,https://www.youtube.com/watch?v=wLjctAaubv8,18K views,5:11,https://i.ytimg.com/vi/wLjctAaubv8/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAjphxbPz2zc29JhTokqE0Cmih2pg
Wang Qiang vs. Dayana Yastremska | 2018 Hong Kong Open Final | WTA Highlights 香港網球公開賽,https://www.youtube.com/watch?v=UZeATXrDw00,56K views,5:29,https://i.ytimg.com/vi/UZeATXrDw00/hqdefault.jpg?sqp=-oaymwEjCPYBEIoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCtKJ-MVajyYPvxrgQUHGBfSxZnkw
