"tournament_name","tournament_logo","tournament_start","tournament_end"
"Shenzhen Open - Shenzhen, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/shenzhen_0_0.jpg","Dec 30","Jan 5, 2019"
"ASB Classic - Auckland, New Zealand","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/auckland_0_0.jpg","Dec 31","Jan 6, 2019"
"Brisbane International - Brisbane, Australia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/brisbane_1.jpg","Dec 31","Jan 6, 2019"
"Hobart International - Hobart, Australia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/hobart_0_0.jpg","Jan 7","Jan 12, 2019"
"Sydney International - Sydney, Australia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/sydney_2_0.jpg","Jan 7","Jan 12, 2019"
"Australian Open - Melbourne, Australia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/ao_1.jpg","Jan 14","Jan 26, 2019"
"Oracle Challenger Series - Newport Beach, CA, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/newport_beach_0.jpg","Jan 21","Jan 27, 2019"
"Thailand Open - Hua Hin, THA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/huahin_0.jpg","Jan 28","Feb 3, 2019"
"St. Petersburg Ladies Trophy - St. Petersburg, Russia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/stpetersburg_1.jpg","Jan 28","Feb 3, 2019"
"Qatar Total Open 2019 - Doha, Qatar","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/doha_1_0.jpg","Feb 11","Feb 16, 2019"
"Dubai Duty Free Tennis Championships - Dubai, UAE","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/dubai_0_0.jpg","Feb 17","Feb 23, 2019"
"Hungarian Ladies Open - Budapest, Hungary","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/budapest_0_0.jpg","Feb 18","Feb 24, 2019"
"Abierto Mexicano TELCEL presentado por HSBC - Acapulco, Mexico","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/acapulco_0_0_0.jpg","Feb 25","Mar 2, 2019"
"Oracle Challenger Series - Indian Wells, CA, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/indian_wells_0.jpg","Feb 25","Mar 3, 2019"
"BNP Paribas Open - Indian Wells, CA, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/indianwells_0_0_0.jpg","Mar 6","Mar 17, 2019"
"Abierto De Zapopan - Guadalajara, JA, MEX","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/wta.jpg","Mar 11","Mar 16, 2019"
"Miami Open presented by Itau - Miami, FL, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/miami_0_0.jpg","Mar 19","Mar 30, 2019"
"Volvo Car Open - Charleston, SC, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/charleston_0_0.jpg","Apr 1","Apr 7, 2019"
"Abierto GNP Seguros - Monterrey, Mexico","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/monterrey_0_0_0.jpg","Apr 1","Apr 7, 2019"
"Samsung Open presented by Corner - Lugano, Switzerland","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/lugano_0.jpg","Apr 8","Apr 14, 2019"
"Claro Open Colsanitas - Bogota, Colombia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/bogota_0_0.jpg","Apr 8","Apr 14, 2019"
"2019 Zhengzhou Women's Tennis Open - Zhengzhou, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/zhengzhou_18_0.jpg","Apr 15","Apr 21, 2019"
"TEB BNP Paribas Istanbul Cup - Istanbul, Turkey","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/istanbul_0_0.jpg","Apr 22","Apr 28, 2019"
"Porsche Tennis Grand Prix - Stuttgart, Germany","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/stuttgart_2_0.jpg","Apr 22","Apr 28, 2019"
"Grand Prix De SAR La Princesse Lalla Meryem - Rabat, Morocco","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/marrakech_0_0.jpg","Apr 29","May 4, 2019"
"2019 Kunming Open - Anning, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/anning_0_0.jpg","Apr 29","May 4, 2019"
"J&T Banka Prague Open - Prague, Czech Republic","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/prague_0_0.jpg","Apr 29","May 4, 2019"
"Mutua Madrid Open - Madrid, Spain","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/madrid_1_0.jpg","May 4","May 11, 2019"
"Internazionali BNL d'Italia - Rome, Italy","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/rome_0_0.jpg","May 13","May 19, 2019"
