"GSdata_year","GSdata_Australia","GSdata_French","GSdata_Wimbleton","GSdata_US"
"Wta Singles Titles","2","2","",""
"Prize Money","$1,596,204","$3,033,692","",""
"W/L - Singles","41/23","366/229","",""
"Wta doubles Titles","0","0","",""
"Prize Money","$1,596,204","3033692","",""
"W/L - doubles","3/7","23/45","",""
"W-L","1-4","3-4","1-4","5-5"
"2018","R128","R32","R128","R32"
"2017","R128","R128","R64","R128"
"2016","R64","R64","R128","R64"
"2015","R128","R128","R128","R64"
"2014","-","-","-","R64"
"R1","L","[1] Daria Kasatkina (RUS)","10","6-1 2-6 7-5"
"R1","W","[6] Madison Keys (USA)","16","1-6 6-3 6-1"
"SF","W","[7] Garbiñe Muguruza (ESP)","17","6-2 6-0"
"Final","L","[9] Ashleigh Barty (AUS)","19","6-3 6-4"
"Round 32","W","[W] Ling Zhang (HKG)","407","6-0 6-2"
"Round 16","W","Christina Mchale (USA)","145","7-5 6-1"
"Quarterfinals","W","[1] Elina Svitolina (UKR)","5","6-2 6-4"
"Semifinals","W","[4] Garbiñe Muguruza (ESP)","13","6-7(5) 6-4 7-5"
"Final","L","Dayana Yastremska (UKR)","102","6-2 6-1"
"Round 64","W","BYE","-","-"
"Round 32","W","[12] Jelena Ostapenko (LAT)","13","6-0 6-0"
"Round 16","W","[7] Karolina Pliskova (CZE)","7","6-4 6-4"
"Quarterfinals","W","Aryna Sabalenka (BLR)","16","7-5 7-5"
"Semifinals","L","[2] Caroline Wozniacki (DEN)","2","6-1 6-3"
"Round 64","W","Maria Sakkari (GRE)","29","7-5 6-2"
"Round 32","W","[8] Karolina Pliskova (CZE)","7","6-1 3-6 6-3"
"Round 16","W","Daria Gavrilova (AUS)","33","7-5 6-2"
"Quarterfinals","W","[Q] Monica Puig (PUR)","51","6-3 6-1"
"Semifinals","L","Anett Kontaveit (EST)","27","6-2 2-1 RET"
"Round 32","W","Nicole Gibbs (USA)","129","6-1 6-2"
"Round 16","W","[W] Svetlana Kuznetsova (RUS)","110","6-2 6-2"
"Quarterfinals","W","Fiona Ferro (FRA)","124","6-4 6-0"
"Semifinals","W","Andrea Petkovic (GER)","85","6-2 6-2"
"Final","W","[5] Yulia Putintseva (KAZ)","61","6-1 6-2"
"Round 32","W","[Q] Priscilla Hon (AUS)","176","3-6 6-1 6-3"
"Round 16","W","Luksika Kumkhum (THA)","93","7-5 6-3"
"Quarterfinals","W","[8] Magda Linette (POL)","68","6-2 6-2"
"Semifinals","L","[2] Su-Wei Hsieh (TPE)","40","6-4 6-4"
"Round 128","W","[31] Magdalena Rybarikova (SVK)","29","6-2 6-2"
"Round 64","W","Irina-Camelia Begu (ROU)","59","6-3 6-1"
"Round 32","L","[7] Elina Svitolina (UKR)","7","6-4 6-4"
"Round 64 - Q","W","BYE","-","-"
"Round 32 - Q","W","Rebecca Marino (CAN)","307","7-5 6-4"
"Round 64","L","Mihaela Buzarnescu (ROU)","20","6-2 7-5"
"Round 32","L","[Q] Amanda Anisimova (USA)","198","6-2 7-5"
"Round 32","W","Ankita Raina (IND)","191","6-2 6-1"
"Round 16","W","Sabina Sharipova (UZB)","127","6-4 3-6 6-2"
"Quarterfinals","W","Fangzhou Liu (CHN)","139","6-3 6-0"
"Semifinals","W","[3] Magda Linette (POL)","80","7-5 6-2"
"Final","W","[6] Saisai Zheng (CHN)","112","7-5 4-0 RET"
"Round 128","L","Saisai Zheng (CHN)","126","6-3 4-6 6-1"
"Round 128","W","[9] Venus Williams (USA)","9","6-4 7-5"
"Round 64","W","Petra Martic (CRO)","35","6-1 6-1"
"Round 32","L","Yulia Putintseva (KAZ)","98","1-6 7-5 6-4"
"Round 32","W","[Q] Camilla Rosatello (ITA)","266","3-6 6-1 6-4"
"Round 16","W","[7] Danielle Collins (USA)","44","4-6 7-5 6-2"
"Quarterfinals","L","[1] Ashleigh Barty (AUS)","17","7-5 6-4"
"Round 32 - Q","W","Lara Arruabarrena (ESP)","94","7-6(4) 6-1"
"Round 16 - Q","L","[3] Alison Van Uytvanck (BEL)","49","3-6 6-3 6-1"
"Round 64","L","[14] Daria Kasatkina (RUS)","15","7-5 7-6(6)"
