第1页

1.你认为以下功能的重要程度为？
基本信息(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),1,3
2,8,20
3(非常重要),31,78
有效填写量,40

比赛数据(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),3,8
2,5,13
3(非常重要),32,80
有效填写量,40

职业生涯重大事件时间线(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),3,8
2,5,13
3(非常重要),32,80
有效填写量,40

王蔷比赛视频（官制、饭制）(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),2,5
2,7,18
3(非常重要),31,78
有效填写量,40

王蔷社交媒体实时更新（微博、ins）(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),0,0
2,15,38
3(非常重要),25,63
有效填写量,40

最新资讯汇总（新闻、报道）(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),2,5
2,9,23
3(非常重要),29,73
有效填写量,40

2019 参赛日历实时更新(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),3,8
2,7,18
3(非常重要),30,75
有效填写量,40

高清照片墙(非常不重要 - 非常重要),小计,百分比%
1(非常不重要),3,8
2,8,20
3(非常重要),29,73
有效填写量,40


2.题目: 除了以上这些，你希望还能呈现________功能？
编号,填空答案,提交时间
1,"送福利",2018-11-27 13:37:11
2,"冠军墙",2018-11-27 13:27:44
3,"粉丝互动",2018-11-27 13:25:47
4,"各大赛事链接",2018-11-27 13:25:37
5,"八卦新闻……",2018-11-27 13:21:29
6,"球场之外的其他如代言和时尚旅游等资讯",2018-11-27 13:20:46
7,"王蔷比赛视频直播信号",2018-11-27 13:19:19
8,"目标",2018-11-27 13:17:59
9,"哈哈哈哈八卦",2018-11-27 13:17:49
10,"新闻",2018-11-27 13:17:13
备注：本题回收40条，更多详情请导出原始数据查看


